group_name,first_sighted,last_sighted,group_slug,n_members
Art in the Time of Coronavirus,2021-04-16,2021-04-16,1062636510796731,260.0
Ashley's Journey To Healthy Living,2021-03-22,2021-03-22,598388244128138,72.0
"Ashley, Lindsey, and Kelsey's Healthy Pampered Chef Party",2021-03-22,2021-03-22,428833374914597,
Asperger's Syndrome Awareness and Support Group,2021-03-09,2021-03-09,AspergersSyndromeAwarenessandSupportGroup,9200.0
Assyrians in Health Sciences,2021-03-18,2021-03-18,1391911914377097,716.0
AstroMedica,2021-01-04,2021-01-04,233060470216407,1000.0
Atheist & Agnostic Fellowship for People in Recovery,2021-03-03,2021-04-30,AAFPIR,208.0
Atheist Addict (Recovery and Support),2021-03-01,2021-03-01,222646812650986,182.0
Atheist Recovery,2021-02-02,2021-03-28,atheistrecovery,250.0
Atheistic Satanists In Recovery,2021-01-27,2021-02-24,768525093326642,216.0
Atlanta Recovery Family,2021-01-02,2021-01-15,706264916833054,931.0
Australian Terrier Health,2020-12-31,2021-04-18,1480788625367817,1100.0
Autoimmune Disease Support Group,2021-03-14,2021-03-14,1057122880993765,19000.0
BBL Surgery & Support 🍑💉,2021-03-06,2021-03-07,2803919282987991,11000.0
BFS Recovery - Benign Fasciculation Syndrome -Support Group,2020-12-04,2020-12-04,854180221302634,4500.0
BOUVIER PUPPIES - HEALTH TESTED,2021-01-16,2021-01-16,626699490779207,898.0
BR Healthy Women’s Community,2021-03-17,2021-03-24,608410823137485,
BRAIN INJURY UNFILTERED / TBI & PCS Survivors,2021-03-17,2021-03-23,1909226822427951,4100.0
Baby Steps to a Healthier Lifestyle,2021-04-10,2021-04-16,664726423697032,448.0
Backyard Poultry Health,2021-03-28,2021-04-10,byphealth,5700.0
Bad Beards from Good Guys #Covid19 Support,2021-04-12,2021-04-13,514427006174003,26.0
"Bakersfield, CA Help lost Pets(spay/neuter,license,chip,vaccinate!)",2020-12-09,2021-02-05,354382454618902,5200.0
Baldwinsville Helping Baldwinsville - Covid-19,2021-02-18,2021-02-19,623688781747261,3300.0
Band Directors For Better Health,2021-03-18,2021-03-24,2446169542336694,2500.0
Barb Kampbell Health Coach,2021-01-09,2021-04-30,485591459012183,102.0
Barbell Medicine,2020-11-22,2021-01-03,BarbellMedicineGroup,12000.0
Bariatric Surgery & Gastric Sleeve Support Group,2021-03-19,2021-03-19,828167734266077,7900.0
Bariatric Surgery And Gastric Sleeve Support Group,2021-03-01,2021-03-01,1744254175891432,61000.0
Bariatric Surgery Support Group,2021-03-05,2021-03-23,TheBariatricSurgerySupportGroup,85000.0
Bariatric Surgery Support for the 50-ish Plus Crowd,2021-02-25,2021-03-06,604045736431175,6100.0
Bariatric Surgery... support for all... ask me anything!,2021-03-20,2021-03-20,394828994987839,3200.0
Barron County Residents Against The Public Health Ordinance.,2021-01-10,2021-01-10,314682949819480,1500.0
Battalion 231 - Az Fire Medical,2021-03-20,2021-03-20,763783410722947,148.0
"Be Healthy, Be Happy, Be Beautiful",2021-03-20,2021-03-29,858115274985110,195.0
Be Their Voices Recovery & Support,2021-01-02,2021-01-06,471410743388832,4000.0
Beagle Health & Genetics,2021-04-08,2021-04-09,192657930809522,2400.0
Beautiful Life In Recovery,2021-04-13,2021-04-18,261556685365575,277.0
Beautifully Healthy,2021-03-24,2021-03-25,634716030722913,57.0
Beauty & Health by Linda,2021-03-22,2021-03-22,1010022672688859,95.0
Beauty Medic,2021-03-29,2021-04-02,231249917425106,1100.0
Belgian Shepherd Health Project and DNA testing,2021-03-27,2021-04-01,661362277583591,801.0
Bianca's Healthy Happy Hour,2021-03-22,2021-03-22,360941065201062,
"Biester Blessings Health, Wellness, & Recipes!",2021-03-23,2021-03-24,941065833007819,2700.0
Big Book Overeaters Anonymous Recovery,2021-04-13,2021-04-23,1722586381346686,1800.0
Big T's Recovery Connection,2021-04-01,2021-04-05,262675804757909,305.0
"Big guy, Little’s World Health Awareness",2020-12-04,2021-05-01,414513846136037,27000.0
Biggest Loser Health Group,2020-12-17,2020-12-23,946184729159780,357.0
Biodynamic Gardening Club - Gardening For Health and Happiness,2021-04-27,2021-04-28,629054184228049,328.0
Bioinformatics and Biomedicine Research,2021-04-02,2021-04-26,bibmr,3900.0
Biomedical Engineering Society @ UC Berkeley (BMES),2021-04-01,2021-04-01,calbmes,876.0
Birt Hogg Dube Syndrome,2020-12-31,2021-03-12,454615147912181,1900.0
Black Clergy Finding New Ways to Help The Grieving During COVID-19,2021-03-24,2021-03-24,152092679463406,80.0
"Black Fitness, Wellness & Healthy Eating",2021-03-16,2021-04-28,501217477100025,7400.0
Blending & Juicing for your Health,2021-03-22,2021-03-25,1601834393330384,1400.0
Blue Valley Covid-19 Transparency,2020-12-14,2020-12-29,733862387404178,780.0
Bohring-Opitz Syndrome Connection,2021-02-10,2021-02-10,BohringOpitz,378.0
Boise COVID Safe Restaurants,2020-12-08,2021-01-19,590656528497824,1500.0
Book Club For Health & Fitness Professionals,2020-12-02,2021-04-27,1146534705700536,6100.0
"BorderCollie Health, Genetics, Repro, Etc.",2021-03-18,2021-03-20,766035906875871,2900.0
"Bradley James Fan Group (Merlin, Medici & Damien)",2021-04-30,2021-04-30,819685468761242,324.0
